City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
143,Ewa Beach,US,21.3156,-158.0072,87.75,58,75,19.57,broken clouds
144,Ko Samui,TH,9.5357,99.9357,82.92,76,100,11.52,light rain
145,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,78,20,2.01,few clouds
146,Diego De Almagro,CL,-26.3667,-70.05,60.28,55,0,4.36,clear sky
147,Pasni,PK,25.2631,63.471,82.78,84,99,9.71,light rain
148,Aller,ES,43.1187,-5.5839,60.66,99,83,5.37,broken clouds
149,Kahului,US,20.8947,-156.47,84.22,64,75,21.85,broken clouds
150,Tiksi,RU,71.6872,128.8694,42.06,81,91,8.39,overcast clouds
151,Sakakah,SA,29.9697,40.2064,94.57,18,0,14.05,clear sky
152,Axim,GH,4.8699,-2.2405,73.65,75,44,6.91,scattered clouds
153,Nishihara,JP,26.1842,127.7558,85.28,84,20,13.8,few clouds
154,Nioro,GM,13.35,-15.75,76.39,95,100,6.49,moderate rain
155,Abbotsford,CA,49.058,-122.2526,85.23,51,75,10.36,broken clouds
156,Brae,GB,60.3964,-1.353,50.02,86,41,8.52,scattered clouds
157,Aklavik,CA,68.2191,-135.0107,66.2,68,75,8.05,broken clouds
158,Chicama,PE,-7.8447,-79.1469,61.34,68,84,7.2,broken clouds
159,Lavrentiya,RU,65.5833,-171.0,40.53,81,100,20.42,light rain
160,Deutschlandsberg,AT,46.8153,15.2222,75.9,62,86,4.27,overcast clouds
161,Byron Bay,AU,-28.65,153.6167,58.96,88,100,18.95,light rain
162,Athabasca,CA,54.7169,-113.2854,75.61,42,99,13.15,overcast clouds
163,Cayenne,GF,4.9333,-52.3333,83.08,1,20,3.44,few clouds
164,Port Hawkesbury,CA,45.6169,-61.3485,82.35,76,0,8.05,clear sky
165,Sayat,TM,38.7839,63.8803,84.07,13,0,9.57,clear sky
166,Alexandria,EG,31.2156,29.9553,77.49,69,0,12.03,clear sky
167,Pevek,RU,69.7008,170.3133,32.05,100,100,11.07,snow
168,Hokitika,NZ,-42.7167,170.9667,48.56,55,0,7.96,clear sky
169,Asyut,EG,27.181,31.1837,83.68,31,0,14.94,clear sky
170,Luwuk,ID,-0.9516,122.7875,77.65,87,22,5.1,few clouds
171,Acapulco,MX,16.8634,-99.8901,87.62,74,40,6.91,scattered clouds
172,Norman Wells,CA,65.282,-126.8329,73.44,53,75,3.44,broken clouds
173,Likhoslavl,RU,57.1275,35.464,53.35,95,0,6.17,clear sky
174,Donskoye,RU,45.4552,41.9741,64.53,56,11,8.81,few clouds
175,Kuusamo,FI,65.9667,29.1833,64.44,77,0,4.61,clear sky
176,Hebi,CN,35.8992,114.1925,76.89,72,94,1.61,overcast clouds
177,Mar Del Plata,AR,-38.0023,-57.5575,51.1,66,0,5.75,clear sky
178,Qaqortoq,GL,60.7167,-46.0333,49.82,78,7,8.25,clear sky
179,Maryville,US,35.7565,-83.9705,86.25,80,75,13.8,broken clouds
180,Bastia,FR,42.6667,9.3333,81.3,70,0,2.3,clear sky
181,Whitehorse,CA,60.7161,-135.0538,65.17,44,75,16.11,broken clouds
