City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
257,Bantou,CN,81.64,clear sky,26.2151,117.4893,
258,Kovur,IN,83.89,overcast clouds,14.4833,79.9833,Hotel Yesh Park
261,Saint-Philippe,RE,65.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
262,Shimoda,JP,85.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
263,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
264,Mandal,IN,77.77,overcast clouds,25.45,74.5667,टी star
265,Korla,CN,74.19,clear sky,41.7597,86.1469,Gulisitan Hotel
267,Ixtapa,MX,90.23,scattered clouds,20.7,-105.2,hotel la terminal
269,Lazaro Cardenas,MX,87.01,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
271,Abha,SA,67.82,clear sky,18.2164,42.5053,Abha Hotel
272,Cabedelo,BR,74.07,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
275,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
276,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
278,Aljezur,PT,65.17,clear sky,37.3191,-8.8033,Amazigh Hostel
279,Mazamari,PE,76.42,clear sky,-11.3258,-74.5308,Hospedaje Ratto
280,El Reno,US,94.73,scattered clouds,35.5323,-97.955,Home2 Suites by Hilton El Reno
281,Valle De Guadalupe,MX,86.16,few clouds,21.0,-102.6167,Hotel Río
284,Touros,BR,75.34,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
286,Verkhniy Rohachyk,UA,66.74,few clouds,47.2505,34.338,
287,Salamiyah,SY,72.09,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
289,Cascais,PT,68.47,overcast clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
291,Nador,MA,79.05,few clouds,35.174,-2.9287,Hôtel La Giralda
294,Gitarama,RW,65.66,broken clouds,-2.0744,29.7567,Muhanga in Cyakabiri Motel
297,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
298,Sept-Iles,CA,68.52,thunderstorm,50.2001,-66.3821,Comfort Inn
299,Bridgetown,BB,82.89,few clouds,13.1,-59.6167,Hilton Barbados Resort
301,Craig,US,93.15,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
303,Belmonte,BR,71.4,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
304,Boende,CD,72.48,light rain,-0.2167,20.8667,
306,Northampton,US,89.71,few clouds,40.8754,-75.2499,Gateway Motel
307,Latung,PH,82.89,broken clouds,5.5,120.8833,
309,Lasa,IT,72.48,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
313,Luganville,VU,81.36,few clouds,-15.5333,167.1667,The Espiritu Hotel
